b30_t10,b30_t3,lp_t10,lp_t3,wLEX_t10,wLEX_t3,wSMA_t3,wSMA_t10,5o_t10,5o_t3
81,54,76,43,84,54,54,81,79,50
81,52,71,43,82,54,52,81,81,52
80,54,71,44,81,52,53,84,126,69
79,49,70,44,81,51,53,82,81,52
81,54,71,41,81,53,53,81,120,70
76,52,71,43,83,55,53,81,81,48
83,51,71,44,83,54,51,82,87,55
78,51,72,47,78,49,50,79,77,50
82,50,73,42,82,55,54,84,123,69
78,52,70,43,83,55,56,82,79,51
77,50,72,47,80,54,52,81,120,68
84,54,77,44,80,52,57,85,78,51
78,56,73,45,81,53,52,82,78,51
82,56,72,43,80,52,56,82,121,68
84,54,74,42,81,53,54,84,78,50
83,55,69,44,78,50,53,80,77,53
82,54,77,43,78,50,52,82,77,50
84,58,78,41,79,51,55,84,122,67
81,51,72,42,78,54,54,82,121,67
79,49,72,41,83,55,57,84,81,53
83,56,69,44,83,54,52,80,121,67
77,52,80,46,80,52,57,85,75,51
